week_start_date,quantity
2022-01-02,128808
2022-01-09,3839557
2022-01-16,4138934
2022-01-23,4149077
2022-01-30,4824273
2022-02-06,4008027
2022-02-13,4311010
2022-02-20,3882636
2022-02-27,4256541
2022-03-06,3883810
2022-03-13,5047898
2022-03-20,4303200
2022-03-27,4980761
2022-04-03,4620208
2022-04-10,4553719
2022-04-17,4921338
2022-04-24,5768747
2022-05-01,4684319
2022-05-08,1334134
2022-05-15,7172144
2022-05-22,5505616
2022-05-29,5394786
2022-06-05,5817233
2022-06-12,6260083
2022-06-19,5759699
2022-06-26,5709933
2022-07-03,5556481
2022-07-10,5275889
2022-07-17,5682207
2022-07-24,5824993
2022-07-31,5900392
2022-08-07,6143352
2022-08-14,6256332
2022-08-21,5021634
2022-08-28,5918497
2022-09-04,6112693
2022-09-11,5237531
2022-09-18,5554898
2022-09-25,5343014
2022-10-02,5912301
2022-10-09,4907074
2022-10-16,5269967
2022-10-23,4229764
2022-10-30,4878485
2022-11-06,4661839
2022-11-13,5234579
2022-11-20,4861820
2022-11-27,4465411
2022-12-04,4953197
2022-12-11,5717901
2022-12-18,5259200
2022-12-25,5768419
2023-01-01,4677997
2023-01-08,4111427
2023-01-15,4623965
2023-01-22,5265632
2023-01-29,4364421
2023-02-05,4703388
2023-02-12,4267946
2023-02-19,3731588
2023-02-26,4701262
2023-03-05,3732954
2023-03-12,4775638
2023-03-19,4787111
2023-03-26,4757590
2023-04-02,6001166
2023-04-09,4172070
